Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.26003750424458894
100% Corpus,2,0.01,0.31,0.26003750424458894
100% Corpus,2,0.01,0.61,0.26003750424458894
100% Corpus,2,0.01,0.9099999999999999,0.26003750424458894
100% Corpus,2,0.01,symmetric,0.26003750424458894
100% Corpus,2,0.31,0.01,0.26003750424458894
100% Corpus,2,0.31,0.31,0.26003750424458894
100% Corpus,2,0.31,0.61,0.26003750424458894
100% Corpus,2,0.31,0.9099999999999999,0.26003750424458894
100% Corpus,2,0.31,symmetric,0.26003750424458894
100% Corpus,2,0.61,0.01,0.26003750424458894
100% Corpus,2,0.61,0.31,0.26003750424458894
100% Corpus,2,0.61,0.61,0.26003750424458894
100% Corpus,2,0.61,0.9099999999999999,0.26003750424458894
100% Corpus,2,0.61,symmetric,0.26003750424458894
100% Corpus,2,0.9099999999999999,0.01,0.26003750424458894
100% Corpus,2,0.9099999999999999,0.31,0.26003750424458894
100% Corpus,2,0.9099999999999999,0.61,0.2600375042445889
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.26003750424458894
100% Corpus,2,0.9099999999999999,symmetric,0.26003750424458894
100% Corpus,2,symmetric,0.01,0.26003750424458894
100% Corpus,2,symmetric,0.31,0.26003750424458894
100% Corpus,2,symmetric,0.61,0.26003750424458894
100% Corpus,2,symmetric,0.9099999999999999,0.26003750424458894
100% Corpus,2,symmetric,symmetric,0.26003750424458894
100% Corpus,2,asymmetric,0.01,0.26003750424458894
100% Corpus,2,asymmetric,0.31,0.26003750424458894
100% Corpus,2,asymmetric,0.61,0.26003750424458894
100% Corpus,2,asymmetric,0.9099999999999999,0.26003750424458894
100% Corpus,2,asymmetric,symmetric,0.26003750424458894
100% Corpus,3,0.01,0.01,0.2536072064512313
100% Corpus,3,0.01,0.31,0.2536072064512313
100% Corpus,3,0.01,0.61,0.259356185440604
100% Corpus,3,0.01,0.9099999999999999,0.2583678460646806
100% Corpus,3,0.01,symmetric,0.2536072064512313
100% Corpus,3,0.31,0.01,0.2536072064512313
100% Corpus,3,0.31,0.31,0.2536072064512313
100% Corpus,3,0.31,0.61,0.259356185440604
100% Corpus,3,0.31,0.9099999999999999,0.2583678460646806
100% Corpus,3,0.31,symmetric,0.2536072064512313
100% Corpus,3,0.61,0.01,0.2536072064512313
100% Corpus,3,0.61,0.31,0.2536072064512313
100% Corpus,3,0.61,0.61,0.259356185440604
100% Corpus,3,0.61,0.9099999999999999,0.2583678460646806
100% Corpus,3,0.61,symmetric,0.2536072064512313
100% Corpus,3,0.9099999999999999,0.01,0.2536072064512313
100% Corpus,3,0.9099999999999999,0.31,0.2536072064512313
100% Corpus,3,0.9099999999999999,0.61,0.2583678460646806
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2583678460646806
100% Corpus,3,0.9099999999999999,symmetric,0.2536072064512313
100% Corpus,3,symmetric,0.01,0.2536072064512313
100% Corpus,3,symmetric,0.31,0.2536072064512313
100% Corpus,3,symmetric,0.61,0.259356185440604
100% Corpus,3,symmetric,0.9099999999999999,0.2583678460646806
100% Corpus,3,symmetric,symmetric,0.2536072064512313
100% Corpus,3,asymmetric,0.01,0.2536072064512313
100% Corpus,3,asymmetric,0.31,0.2536072064512313
100% Corpus,3,asymmetric,0.61,0.259356185440604
100% Corpus,3,asymmetric,0.9099999999999999,0.2583678460646806
100% Corpus,3,asymmetric,symmetric,0.2536072064512313
100% Corpus,4,0.01,0.01,0.26430834125720093
100% Corpus,4,0.01,0.31,0.2609500134072566
100% Corpus,4,0.01,0.61,0.2620676172940193
100% Corpus,4,0.01,0.9099999999999999,0.27252337861039344
100% Corpus,4,0.01,symmetric,0.26512737478943443
100% Corpus,4,0.31,0.01,0.2632375870789379
100% Corpus,4,0.31,0.31,0.26355831087720855
100% Corpus,4,0.31,0.61,0.2620676172940193
100% Corpus,4,0.31,0.9099999999999999,0.27252337861039344
100% Corpus,4,0.31,symmetric,0.2716919460033459
100% Corpus,4,0.61,0.01,0.27172923678959643
100% Corpus,4,0.61,0.31,0.26929666902078
100% Corpus,4,0.61,0.61,0.2620676172940193
100% Corpus,4,0.61,0.9099999999999999,0.27162709028850945
100% Corpus,4,0.61,symmetric,0.2699086727640697
100% Corpus,4,0.9099999999999999,0.01,0.27172923678959643
